[Samples]
# id: filename, loop point, pitch multiplier data, attack decay sustain release
01: legacy/01_acoustic_guitar  , 880B, FDA0, FFF1
02: legacy/02_bass_guitar      , B103, A940, FFEE
03: legacy/03_pan_flute        , 5907, B080, FFE0
04: legacy/04_sitar            , 390F, 8400, FFF3
05: legacy/05_cello_1          , 4710, B020, FFE0
06: legacy/06_choir            , 3906, AF80, FFE0
07: legacy/07_flute_1          , 4104, E158, FFE0
08: legacy/08_flute_2          , 0408, FDA0, FFE0
09: legacy/09_unknown          , 8D03, 9000, FFE0
0A: legacy/0A_oboe             , D605, A916, FFE0
0B: legacy/0B_rock_organ       , 3B01, BE90, FFE0
0C: legacy/0C_piano            , 9114, B060, FFEF
0D: legacy/0D_strings_1        , 2103, AFA0, FFE0
0E: legacy/0E_trumpet          , 0204, A900, FFE0
0F: legacy/0F_hi_hat_closed    , 0000, 0000, FFE0
10: legacy/10_picked_string_1  , 0000, 9C00, FFE0
11: legacy/11_hi_hat_open      , 0000, 0000, FFE0
12: legacy/12_cymbal           , 8C0A, 0000, FFEE
13: legacy/13_wind_sound       , 0000, 0000, FFE0
14: legacy/14_snare_1          , 0000, 0000, FFE0
15: legacy/15_snapping_fingers , 0000, 0000, FFE0
16: legacy/16_timpani          , 0000, F900, FFE0
17: legacy/17_conga_drum       , 0000, 0000, FFE0
18: legacy/18_bass             , 7806, B750, FFEC
19: legacy/19_picked_string_2  , CD05, 7000, FFF5
1A: legacy/1A_trombone         , 9408, FDA0, FFE0
1B: legacy/1B_harp             , 9F03, A940, FFF0
1C: legacy/1C_bass_guitar      , 8004, FDA0, FFE0
1D: legacy/1D_picked_string    , 7B03, FDA0, FFF0
1E: legacy/1E_distortion_guitar, FA05, 29C0, FFE0
1F: legacy/1F_flute_3          , E703, B9FF, FFE0   
20: legacy/20_banjo            , 180C, A900, FFEA   
21: legacy/21_snare_2          , 0000, 0000, FFE0   
22: legacy/22_kick             , 6504, 0000, FFE0   
23: legacy/23_cow_bell         , 0000, 0000, FFE0   
24: legacy/24_tubular_bell     , 410D, 8800, FFEA   
25: legacy/25_pipe_organ       , D902, A7A8, FFE0   
26: legacy/26_woo!_            , C006, 0000, FFE0   
27: legacy/27_synth_1          , 0000, 43D0, FFE0   
28: legacy/28_synth_2          , 0000, 4300, FFE0   
29: legacy/29_synth_3          , 0000, 4300, FFE0   
2A: legacy/2A_snapping_fingers , 0000, 7FFF, FFE0   
2B: legacy/2B_synth_4          , 0000, 0000, FFE0   
2C: legacy/2C_synth_5          , 7704, C500, FFE0   
2D: legacy/2D_maracas          , 0000, 0000, FFE0   
2E: legacy/2E_conga_drum       , DC08, 0000, FFF3   
2F: legacy/2F_shaker           , 0000, 0000, FFE0   
30: legacy/30_wood_block       , 0000, 0000, FFE0   
31: legacy/31_strings_2        , 4206, 0000, FFED   
32: legacy/32_acoustic_guitar  , FD0B, 68FC, FFF0   
33: legacy/33_bagpipe          , E20B, 6EE0, FFE0   
34: legacy/34_pan_flute        , 7704, FF00, FFE0   
35: legacy/35_cello_2          , 170A, 8D00, FFE0   
