[Samples]

# PIANO                                                  -------------
01: 01_sd3_gpia6      , 0810, +0    , FFEF, {563}  [+12] GrandPiano6
02: 02_sd3_gpia5      , 651F, -3.762, FFEB, {915}  [   ] GrandPiano5
03: 03_sd3_gpia4      , 6426, +2.930, FFEA, {1119} [   ] GrandPiano4
04: 04_l2_cpia3       , 3B01, f-85  , BF8E, {41}   [   ] CasinoGrand3
05: 05_sd3_gpia2      , A803, -0.226, CFCD, {122}  [-24] GrandPiano2
06: 06_tn_hpia8       , 7500, *.8797, AF2F, {14}   [+36] LQ Piano8
07: 07_thg_pia        , 6F06, *.658 , DF90, {186}  [   ] ClearPiano~4
08: 08_ct_lowpia      , 7B03, 5200  , FFEA, {111}  [-12] Bass Piano
09: 09_fm_gpia6       , BA0C, c+-08 , FFEF, {433}  [+12] G.Piano6 LQ

# ZITHERS ETC                                                        -------------
10: 10_smr_bpia4            , 6F18  , -7.086, FFEC    , {883}  [   ] BrightPiano4
11: 11_smr_bpia3            , 2913  , +2.875, FFED    , {572}  [   ] BrightPiano3
12: 12_thg_harpsi           , 9B04  , *1.324, EF8F    , {137}  [   ] Harpsichord
13: 13_ct_12stg             , D413  , BB74  , FFEE    , {574}  [   ] Bright 12str
14: 14_rh_dulci             , 330C  , -2.210, F 7 7 0A, {351}  [   ] Dulcimer
15: 15_ff10_santur4         , @229bl, ^b+20 , FFEC    , {237}  [   ] Santur
16: 16_rh_clavi             , 4F05  , -3.398, F 7 7 0F, {166}  [-24] Clavinet
17: 17_rh_softrep           , B706  , -2.210, F 4 3 0A, {195}  [   ] Soft Rock EP
18: 18_ff7_choreplq         , @75bl ,  ^d-26, F 1 3 0B, {105}  [+12] Chorus EP LQ
19: 19_ff7_chorep           , @279bl, *0.750, FFEA    , {545}  [+12] Chorus Epiano

# BELLS ETC                                                            -------------
20: 20_tn_celesta             , 3804  , *.807 , FFEF    , {142}  [   ] Celesta/ToyP
21: 21_ff5_glock              , F504  , FE48  , FFF0    , {297}  [+36] Glockenspiel
22: 22_rs3_vibra              , 4605  , E100  , FFEC    , {152}  [+12] Vibraphone
23: 23_ff6_marimb             , 5406  , A960  , FFEC    , {195}  [   ] Marimba
24: 24_smr_marimb             , F300  , -0.25 , FFF4    , {36}   [   ] Marimba LQ
25: 25_rh_xylo                , CE07  , -2.210, F 3 1 0A, {226}  [   ] Xylophone
26: 26_smr_steeld             , F207  , A8A6  , FFD3    , {229}  [   ] Steel Drum
27: 27_rs1_bell               , D104  , E300  , FFF2    , {141}  [+12] Melodic Bell
28: 28_ff7_tbell              , @268bl, *0.505, FFEB    , {317}  [+12] Tubular Bell
29: 29_sd2_tbell              , 3B01  , F200  , FF8D    , {49}   [+12] T.Bell Alt.

# ACOUSTIC GUITARS                                               -------------
30: 30_ct_sitar             , 830A  , FE00  , FFEE, {308}  [-12] Sitar
31: 31_ff7_banjo            , @256bl, *1.100, FFEB, {261}  [   ] Banjo
32: 32_ff5_bouz             , 1803  , FC90  , FFF1, {97}   [-12] Mandolin
33: 33_sd2rs_12stg          , 2A03  , FC60  , FFEF, {99}   [-12] 12str.Guitar
34: 34_ff7_steelg           , @389bl, *0.704, FFEB, {437}  [   ] Steel Guitar
35: 35_l2_nylong            , 2A03  , *0.769, FFED, {97}   [-12] Nylon Guitar
36: 36_ff7_classig          , @319bl, *0.605, FFEB, {330}  [   ] Classical Gtr

# ELECTRIC GUITARS                                                   -------------
38: 38_ff7_cleang            , @283bl, *0.770, FFEA   , {290}  [-12] Clean Elec.G
39: 39_ctx_jcm12st           , @628bl, d-48  , FFE0   , {642}  [   ] SoloOverdrive
40: 40_ebr_synod             , 5202  , *1.316, F 7 7 0, {69}   [+12] SynthOverdrive
41: 41_ff6_s50dist           , FA05  , 29C0  , FFE0   , {444}  [-24] S50 DistFuzz
42: 42_misc_s50distl         , @299bl, b-19  , FFE0   , {454}  [-12] S50 DistLoop
43: 43_misc_s50distc         , @107bl, f+70  , FFE0   , {118}  [-12] S50 DistClean
44: 44_misc_s50distp         , @268bl, c-6   , FFE0   , {398}  [-12] S50 Pwr.Chord
45: 45_rh_fzdist             , 7B0C  , -3.00 , F 6 7 0, {523}  [-24] Fuzzy Dist.G
46: 46_fmgh_dist             , 7E09  , CC00  , FFE0   , {524}  [-12] Chug Dist.G
47: 47_lal_dist              , 3D05  , E170  , CFC0   , {519}  [-12] Clear Dist.G
48: 48_ebr_dgpopen           , 2103  , *0.821, FFE0   , {119}  [-12] DG Open PM/LQ
49: 49_ebr_dgpmute           , 8004  , *0.984, FFE0   , {137}  [-12] DG Palm Mute

# BASS GUITARS AND SYNTHS                                      -------------
